                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6368,                 5.4146,                 4.3587,                      0,                      0,                      0,                      0,                 3.3798,                 5.3223,                 4.1591,                      0,                      0,                      0
                      2,                 3.1884,                 5.5899,                 4.2291,                      0,                      0,                      0,                      0,                 3.3798,                 5.3223,                 4.1592,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 3.2378,                 5.8123,                  4.459,                      0,                      0,                      0,                      0,                   3.38,                 5.3222,                 4.1587,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                  3.269,                 5.4974,                 4.2249,                      0,                      0,                      0,                      0,                   3.38,                 5.3222,                 4.1592,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 3.8058,                 5.6661,                 4.3328,                      0,                      0,                      0,                      0,                   3.38,                 5.3222,                 4.1591,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 2.8836,                 5.5476,                 4.3722,                      0,                      0,                      0,                      0,                 3.3803,                   5.32,                 4.1593,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 3.6287,                 5.7307,                 4.2565,                      0,                      0,                      0,                      0,                   3.38,                 5.3205,                 4.1594,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 3.3827,                 5.5216,                 4.1772,                      0,                      0,                      0,                      0,                 3.3804,                 5.3183,                 4.1596,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 3.0364,                 5.4934,                 4.5659,                      0,                      0,                      0,                      0,                 3.3803,                 5.3194,                 4.1595,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 3.2699,                 5.5131,                 4.4992,                      0,                      0,                      0,                      0,                 3.3803,                 5.3194,                 4.1596,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 3.1599,                 5.6117,                 4.2738,                      0,                      0,                      0,                      0,                 3.3803,                 5.3196,                 4.1597,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 3.0622,                 5.5647,                 4.2866,                      0,                      0,                      0,                      0,                 3.3796,                 5.3219,                 4.1599,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 3.3103,                 5.4551,                 4.1933,                      0,                      0,                      0,                      0,                 3.3801,                 5.3193,                 4.1597,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 2.8417,                 5.7115,                 4.2737,                      0,                      0,                      0,                      0,                 3.3807,                 5.3217,                 4.1597,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 3.3215,                 5.4309,                 4.2465,                      0,                      0,                      0,                      0,                 3.3801,                 5.3209,                   4.16,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 3.2941,                 5.5333,                 4.2983,                      0,                      0,                      0,                      0,                 3.3801,                 5.3168,                   4.16,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 3.0544,                  5.468,                 4.4064,                      0,                      0,                      0,                      0,                 3.3795,                 5.3174,                   4.16,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                  2.931,                 5.7911,                 4.2922,                      0,                      0,                      0,                      0,                 3.3795,                 5.3174,                   4.16,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 2.7619,                 5.5597,                 4.2762,                      0,                      0,                      0,                      0,                 3.3784,                 5.3172,                 4.1604,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                    2.9,                 5.7398,                  4.331,                      0,                      0,                      0,                      0,                 3.3784,                 5.3172,                 4.1604,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 3.1043,                 5.5363,                  4.277,                      0,                      0,                      0,                      0,                  3.379,                 5.3208,                 4.1606,             1.9088e-05,             1.9088e-05,             1.9088e-05
