                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3364,                 3.7261,                 1.3935,                0.01092,                 0.9537,                0.35059,                0.26629,                 1.0636,                 3.1359,                 1.1696,             0.00032381,             0.00032381,             0.00032381
                      2,                  1.194,                 2.4225,                 1.3139,                0.79954,                0.45399,                0.74345,                0.55124,                 1.1235,                 2.4489,                 1.2608,             0.00065064,             0.00065064,             0.00065064
                      3,                 1.2497,                 2.2177,                 1.3378,                0.46439,                0.57148,                0.53187,                0.35086,                 1.4417,                 2.7513,                  1.646,             0.00097086,             0.00097086,             0.00097086
                      4,                 1.2494,                 2.0448,                 1.3203,                0.60737,                0.49411,                0.58983,                0.38346,                 1.3375,                 1.7812,                 1.5561,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.2764,                 1.9488,                 1.3478,                 0.6738,                0.65644,                0.65907,                0.45684,                 1.2224,                 1.8077,                 1.3294,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.1843,                 1.7979,                 1.2945,                 0.7962,                0.71451,                 0.7396,                0.50719,                 1.1957,                 1.2558,                 1.3703,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.2107,                 1.7138,                 1.3061,                0.77985,                0.70567,                  0.703,                0.47553,                  1.191,                 1.5391,                 1.3862,              0.0009406,              0.0009406,              0.0009406
                      8,                  1.152,                 1.6174,                  1.282,                0.77361,                0.73845,                0.74178,                0.51423,                 1.1583,                 1.2322,                 1.3023,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.1336,                 1.4511,                 1.2692,                0.88186,                 0.7308,                0.83288,                0.59052,                 1.1257,                0.96436,                 1.3112,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.1321,                  1.404,                 1.2431,                0.91463,                0.75306,                0.83388,                0.61323,                  1.014,                0.79649,                 1.2073,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.1354,                 1.3407,                 1.2654,                0.86336,                0.77048,                0.84376,                0.57411,                 1.0484,                0.82976,                 1.2654,               0.000901,               0.000901,               0.000901
                     12,                 1.0645,                 1.2175,                  1.211,                0.78301,                0.86303,                0.87119,                0.61157,                 1.0374,                0.85164,                 1.2075,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.0485,                  1.115,                 1.2179,                0.87204,                0.80414,                0.85161,                0.62036,                 1.0146,                0.93589,                 1.2122,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.0027,                 1.1196,                 1.1836,                0.84732,                 0.8002,                0.80974,                 0.6139,                0.98862,                0.78078,                 1.1688,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.0621,                  1.129,                 1.2097,                0.83866,                0.89015,                0.91169,                0.58576,                 1.0718,                0.78001,                 1.2122,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.0045,                 1.0287,                 1.1649,                0.94793,                0.87157,                0.91243,                0.63568,                 1.0193,                0.68809,                 1.1965,              0.0008515,              0.0008515,              0.0008515
                     17,                0.96903,                0.97258,                 1.1595,                0.83254,                0.88078,                 0.8564,                0.61759,                 1.0241,                0.65874,                  1.189,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.0452,                 1.0333,                 1.2202,                0.84803,                0.85926,                0.86817,                 0.6174,                0.98586,                0.71421,                 1.1772,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.0251,                0.97677,                 1.1746,                0.96673,                0.81432,                0.90817,                0.62529,                 0.9761,                0.66128,                  1.142,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.0262,                0.95194,                 1.1701,                0.91677,                0.91213,                0.94302,                0.62762,                 1.0648,                0.63555,                  1.217,              0.0008119,              0.0008119,              0.0008119
