                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3715,                  3.809,                 4.2116,                0.00245,                    0.5,                0.08818,                0.02059,                 3.6486,                 3.8321,                 4.1579,             0.00020004,             0.00020004,             0.00020004
                      2,                 3.4308,                 3.3215,                 4.0858,                0.00236,                    0.5,                 0.1088,                0.02439,                 3.6269,                 3.8025,                 4.1449,             0.00041262,             0.00041262,             0.00041262
                      3,                 3.1631,                 3.0017,                 3.8745,                0.00233,                    0.5,                0.08905,                0.02113,                  3.613,                 3.7898,                 4.1312,             0.00062092,             0.00062092,             0.00062092
                      4,                 2.9087,                 2.6971,                 3.5018,                0.00234,                    0.5,                0.47289,                0.13916,                 3.5353,                 3.7321,                 4.1031,             0.00082492,             0.00082492,             0.00082492
                      5,                 2.6221,                 2.3542,                 3.1474,                0.00241,                    0.5,                 0.0619,                0.01907,                 3.4985,                 3.7281,                 4.0782,              0.0010246,              0.0010246,              0.0010246
                      6,                 2.4924,                  2.141,                  2.948,                0.00245,                    0.5,                0.05195,                 0.0277,                 3.2016,                  3.726,                 3.9038,              0.0012201,              0.0012201,              0.0012201
                      7,                 2.3422,                 1.9835,                 2.7021,                0.00252,                    0.5,                0.46476,                0.23758,                 3.2671,                 3.6075,                 3.9146,              0.0014112,              0.0014112,              0.0014112
                      8,                 2.1615,                  1.905,                 2.5368,                0.63263,                    0.5,                 0.4384,                0.18462,                 3.0898,                 3.3288,                 3.6353,              0.0015515,              0.0015515,              0.0015515
                      9,                 2.1134,                 1.7166,                 2.5076,                 0.0033,                    0.5,                 0.4975,                0.22665,                 2.8586,                 3.3906,                 3.2989,              0.0015515,              0.0015515,              0.0015515
                     10,                 2.0265,                 1.6259,                 2.4396,                0.95783,                0.39486,                 0.4783,                0.29084,                 2.9858,                 2.9526,                 3.2417,               0.001535,               0.001535,               0.001535
